filename,metric,k_value,time_ms
neuralarch_conn_regressGS-True_nROI-232,1,3,8038
neuralarch_conn_regressGS-True_nROI-232,1,4,8780
neuralarch_conn_regressGS-True_nROI-232,1,5,9356
neuralarch_conn_regressGS-True_nROI-232,1,6,10368
neuralarch_conn_regressGS-True_nROI-232,1,7,11375
neuralarch_conn_regressGS-True_nROI-232,1,8,12545
neuralarch_conn_regressGS-False_nROI-232,1,3,9076
neuralarch_conn_regressGS-False_nROI-232,1,4,9813
neuralarch_conn_regressGS-False_nROI-232,1,5,11411
neuralarch_conn_regressGS-False_nROI-232,1,6,12437
neuralarch_conn_regressGS-False_nROI-232,1,7,12633
neuralarch_conn_regressGS-False_nROI-232,1,8,14399
Total runtime,130289
